time_s,dt_s,gcl_max_m3_s,component_compatibility_m3_s,correction_relative_l2,correction_max_m_s,raw_max_m_s,budget_error_ppm_m3,boundary_outward_ppm_m3_s,linear_residual_ppm_m3,source_ppm_m3_s,cumulative_budget_error_ppm_m3,roi_correction_relative_l2,interface_correction_relative_l2,co2_min_ppm,co2_max_ppm,max_diffusivity_m2_s
0.05,0.05,1.7825164629926837e-15,4.101333530605322e-18,0.047608813303140186,0.8610231208468964,5.153923977237357,-3.4169320151100635e-11,9.301726056065718e-12,1.3010426069826053e-18,-1.0862756164336873,-3.4169320151100635e-11,0.6350700709799949,0.08264665292004929,399.9632008737221,400.0000000000001,0.03359991666574449
0.14363231833583817,0.09363231833583817,1.916286682286661e-15,9.608741753652783e-18,0.033877370625656156,0.6717263396423401,4.985060495875137,4.8962223164750185e-11,7.936174287181963e-12,5.204170427930421e-18,-1.0862756164336873,1.4792913140494048e-11,0.2906625813753065,0.06578989255570906,399.8945777288042,400.0000000000003,0.033714643843394655
0.23641242737186727,0.0927801090360291,1.950974375542619e-15,4.776927009335352e-17,0.028489582408310184,0.5961626884960841,4.74834071914115,-1.775966873562851e-11,1.2965888779303825e-11,6.938893903907228e-18,-1.0862756164336873,-2.966775056562022e-12,0.18382217044156096,0.0617032508310766,399.8271300159699,400.00000000000017,0.03298993352659097
0.3298957597154546,0.09348333234358733,1.950018922378116e-15,1.462317680139824e-17,0.025811179788647484,0.5622953790223363,4.525740073122351,2.2478491290556235e-11,1.2059830564736806e-11,6.938893903907228e-18,-1.0862756164336873,1.9511705656753626e-11,0.1338281394432789,0.062488553344422375,399.759998055479,400.00000000000017,0.031971947525936656
0.42249829130410066,0.09260253158864606,1.9475252573813995e-15,1.2475101247161335e-17,0.024036665207050813,0.5419082232498813,4.321703867940482,-3.451650076868873e-11,1.0616284761011396e-11,2.0816681711721685e-17,-1.0862756164336873,-1.500480275530506e-11,0.10562157867188104,0.06445103614877894,399.6945674362427,400.00000000000017,0.030977333334939003
0.5138162272648494,0.09131793596074878,1.9490566929500353e-15,2.270048298641525e-17,0.022663750345261486,0.5274801375349321,4.153230590911202,2.1947027528668173e-12,9.941073138286516e-12,2.0816681711721685e-17,-1.0862756164336873,-1.2810089456087643e-11,0.08767980932582872,0.06655304174817903,399.6313239967122,400.00000000000017,0.030028688941096428
0.6041938022645382,0.09037757499968879,1.9689653553423003e-15,4.861969117239684e-17,0.021558570597552146,0.5170351749475184,4.093633693274165,8.547190732954846e-12,9.784385107680649e-12,1.3877787807814457e-17,-1.0862756164336873,-4.262930118927104e-12,0.07526628065806777,0.06856614346511014,399.5702075256541,400.00000000000017,0.02914241653243551
0.693807921395434,0.08961411913089579,1.9685994371090865e-15,1.521948799626527e-17,0.020646580151823905,0.5095446875421923,4.144627954262152,5.8134011493571336e-11,8.895562238209198e-12,1.3877787807814457e-17,-1.0862756164336873,5.3871039828175507e-11,0.06617501727432991,0.07043386848030003,399.51126168144594,400.00000000000017,0.028316511852212557
0.7827732333011892,0.08896531190575518,1.9971139542454552e-15,4.177566495858209e-17,0.01987406287576604,0.5040691483093119,4.185073564320878,-4.627163929793454e-11,7.06620352508569e-12,3.469446951953614e-17,-1.0862756164336873,7.59942537650919e-12,0.05923596145610786,0.07211382929257577,399.454555466585,400.00000000000017,0.027557417300642616
0.8711757508934825,0.08840251759229334,1.9403830755701512e-15,3.369158250998705e-17,0.019210808985744135,0.4998962818573667,4.2168203305767,3.769705381184707e-11,5.585886625209674e-12,2.0816681711721685e-17,-1.0862756164336873,4.529647230544445e-11,0.05377057482707715,0.073605257431878,399.40015660853567,400.0000000000001,0.026876222361692167
0.9590934589693707,0.08791770807588817,1.955710983783665e-15,2.1196152472091612e-17,0.018634785895954804,0.4968913979431051,4.228979354455776,-5.4139415173182215e-11,7.431041242414449e-12,2.0816681711721685e-17,-1.0862756164336873,-8.842933491927959e-12,0.049357740245036814,0.0749223884980309,399.34811549787764,400.0000000000002,0.0262686460195867
1.046633212557498,0.08753975358812727,1.985662068798577e-15,2.1677267186132054e-17,0.0181354289056375,0.4945314925513523,4.238285190791736,4.849255719197032e-11,7.448070805937679e-12,2.7755575615628914e-17,-1.0862756164336873,3.964968914525337e-11,0.04572062278747984,0.07609876549296474,399.29844096776105,400.00000000000017,0.025714519308563364
1.1338766838306935,0.08724347127319554,1.9950404175905767e-15,2.270048298641525e-17,0.01769768841238759,0.4924437745207978,4.2540681979509225,-2.0393534083673615e-11,9.398366633550648e-12,5.551115123125783e-17,-1.0862756164336873,1.9256159853939788e-11,0.04267174833062607,0.07713455874012914,399.25113747477445,400.00000000000017,0.025204542284595326
1.2208960907496755,0.08701940691898202,1.956117559598347e-15,1.0076303940537157e-17,0.017313003636304128,0.4905367901718828,4.288613411921733,-3.986981578218973e-11,7.926674074065776e-12,4.163336342344337e-17,-1.0862756164336873,-2.0613621383320857e-11,0.04007965435879113,0.07807885993160338,399.20619583762664,400.00000000000017,0.02473825040538195
1.3077415651138227,0.08684547436414713,1.9629209282306936e-15,1.6127507315721878e-17,0.01697335489426374,0.4888388727017252,4.3197134854353285,1.6350309994805912e-11,7.399624749743205e-12,9.71445146547012e-17,-1.0862756164336873,-4.263340064811083e-12,0.03784952674584272,0.07895100002152859,399.16359241150457,400.00000000000017,0.02431512671030543
1.3944481621489166,0.08670659703509398,1.984089975648473e-15,6.071532165918825e-18,0.01667244931384835,0.4872774837345313,4.349779104054209,2.4845070445422834e-11,5.4789087763212896e-12,6.938893903907228e-17,-1.0862756164336873,2.0581778994986408e-11,0.03591126105094554,0.07980736067449086,399.1232790414307,400.00000000000017,0.023933195202591843
1.4810437375693828,0.08659557542046614,1.9583943841605667e-15,2.485533480423019e-17,0.016404585304219992,0.48578335134360895,4.377284450467236,-2.859421033285514e-12,5.137601932422853e-12,2.0816681711721685e-17,-1.0862756164336873,1.7722426824716473e-11,0.03421196696464765,0.08069094561206445,399.0851787562154,400.00000000000017,0.0235900849681284
1.5675311867569917,0.08648744918760887,1.975362148159965e-15,1.620882247865829e-17,0.016165743413595276,0.4844288947733989,4.403477041501589,1.7538803742667142e-11,5.110109817935138e-12,8.326672684688674e-17,-1.0862756164336873,3.5261155633350873e-11,0.032711542562082564,0.08159826930559044,399.04919886790674,400.00000000000017,0.023283806665964087
1.6539274629057488,0.08639627614875711,2.011086609743362e-15,7.11846488872514e-17,0.015952061284748513,0.483238432417717,4.427362947677282,-3.487882205277515e-11,8.531716999549133e-12,6.938893903907228e-17,-1.0862756164336873,3.8230958129194526e-13,0.031378414435905416,0.08261734182566927,399.0152172420688,400.00000000000017,0.023241060005231347
1.740268677213786,0.08634121430803732,1.9975611876416055e-15,3.429466996843211e-17,0.015762264471797318,0.4822241584824073,4.448242605679511,1.7688378539659766e-11,4.134461436405834e-12,6.938893903907228e-17,-1.0862756164336873,1.807075359503937e-11,0.030187156706875728,0.08373333490710726,398.9830879134559,400.00000000000017,0.023331029135828473
1.8265940530557472,0.0863253758419611,2.0047982371429462e-15,1.9786689647860456e-17,0.01559377669438047,0.4813654756422948,4.464294090609749,-1.78862757937992e-11,3.303185849845569e-12,6.938893903907228e-17,-1.0862756164336873,1.8443802175335006e-13,0.029117105005784925,0.08488517639263156,398.95265644390105,400.00000000000017,0.02359268144123618
1.9128616879596145,0.08626763490386735,1.9822468319552478e-15,4.4194791055940374e-17,0.01543842520148018,0.4805114436878323,4.475486043810538,5.633993271914051e-12,6.801983021970104e-12,8.326672684688674e-17,-1.0862756164336873,5.8183028796609325e-12,0.028152476121541897,0.08609448032480371,398.9237925011493,400.00000000000017,0.023773951171260112
1.999081149383772,0.08621946142415737,1.957662547694139e-15,1.3891340334970526e-17,0.015292547559229897,0.4796957577695633,4.484703611360078,5.949699066754022e-12,6.71260096118953e-12,5.551115123125783e-17,-1.0862756164336873,1.1767874623216633e-11,0.027279738905047448,0.08740887544183581,398.89633457191877,400.00000000000017,0.023803142595088072
2.085262531018108,0.08618138163433597,1.971838491099387e-15,1.5829351718288365e-17,0.015155047397713247,0.47888821818605,4.49351634515818,1.6479956288506514e-11,5.315289224386288e-12,6.938893903907228e-17,-1.0862756164336873,2.82478041053309e-11,0.026488097920544584,0.08871087334746455,398.87011362969577,400.0000000000002,0.0237526506218609
2.1714093075778704,0.08614677655976255,1.973790055009861e-15,2.064049885869279e-17,0.01502864484477856,0.47815369283446163,4.503889407163306,-8.4309642600644e-12,4.967128054353398e-12,1.1102230246251565e-16,-1.0862756164336873,1.981701461788396e-11,0.02576766757638489,0.08993277360581876,398.84496860972456,400.0000000000002,0.02367796391273556
2.2575298401083153,0.08612053253044483,2.1301049032279584e-15,9.467795471229667e-17,0.014914694557494721,0.4774672059638009,4.514807058938766,-7.729469841954995e-12,6.780575666914812e-12,5.551115123125783e-17,-1.0862756164336873,1.2087611396788466e-11,0.025112848939886193,0.09108633062167869,398.8207551302467,400.0000000000002,0.023617996200304504
2.343627895630554,0.08609805552223859,2.0167244610402868e-15,7.884860299400831e-17,0.01481306065358809,0.47682822940259395,4.526208364535402,1.7446447064806136e-11,6.929469042842029e-12,5.551115123125783e-17,-1.0862756164336873,2.9533858007309787e-11,0.024518658429384645,0.09223870425345336,398.7973548796432,400.0000000000002,0.024454440686561794
