time_s,gap_m,fans_on,co2_mean_ppm,co2_spatial_sd_ppm,co2_min_ppm,co2_max_ppm,net_exchange_umol_s,roi_mean_speed_m_s
0.0,0.0,1,400.0,0.0,400.0,400.0,-44.40047791098563,0.0
10.0,0.0,1,399.88684628995514,0.261153308159568,398.3190388933858,400.0000000000001,-44.40047791098563,0.11299554259869775
20.0,0.0,1,399.7736925799104,0.32522280015825933,398.03771995163544,400.00000000000017,-44.40047791098563,0.13659120460855687
30.0,0.0,1,399.66053886986555,0.35318715713763565,397.8749566810967,400.00000000000017,-44.40047791098563,0.14252020073995053
40.0,0.0,1,399.5473851598208,0.3882972689161102,397.44893729522244,400.00000000000017,-44.40047791098563,0.1438677024520114
50.0,0.0,1,399.43423144977595,0.41347956141075737,396.9807565455466,400.00000000000017,-44.40047791098563,0.14242002468711912
60.0,0.0,1,399.3210777397312,0.43050001904433555,396.8743130469989,400.00000000000017,-44.40047791098563,0.1421201064238788
70.0,0.0,1,399.20792402968647,0.4474435645707692,396.8368181617323,400.0000000000001,-44.40047791098563,0.1416396600370755
80.0,0.0,1,399.0947703196416,0.46275021122756016,396.72681259429027,400.0000000000001,-44.40047791098563,0.14126435363909196
89.99999999999997,0.0,1,398.98161660959687,0.47873536624774554,396.53604448925654,400.0000000000001,-44.40047791098563,0.14094900714213146
100.0,0.0,1,398.868462899552,0.4933818743990995,396.3934859195008,400.00000000000017,-44.40047791098563,0.14068227663156516
110.0,0.0,1,398.7553091895073,0.5064730440408393,396.27172046329474,400.0000000000001,-44.40047791098563,0.14042063615116807
120.0,0.0,1,398.6421554794625,0.5170847494341332,396.2863493923678,400.0000000000001,-44.40047791098563,0.14003416199369342
130.0,0.0,1,398.5290017694177,0.527075086139505,396.24111662798396,400.0000000000001,-44.40047791098563,0.13970567096831235
140.0,0.0,1,398.415848059373,0.5356300222963102,396.1465964889784,400.0000000000001,-44.40047791098563,0.13948899518216407
150.0,0.0,1,398.3026943493282,0.5424919053446199,396.0633905985951,400.0000000000001,-44.40047791098563,0.1393164181208679
160.0,0.0,1,398.1895406392834,0.5495287359631653,395.9855791209422,400.00000000000017,-44.40047791098563,0.13907256963518186
170.00000000000003,0.0,1,398.0763869292386,0.5566480418348583,395.8292369030335,400.0000000000001,-44.40047791098563,0.13902087526382545
180.0,0.0,1,397.9632332191938,0.5633101536774291,395.6722316058577,400.0000000000001,-44.40047791098563,0.1392610556650988
190.0,0.0,1,397.85007950914905,0.5695702213457936,395.4929289327227,400.00000000000017,-44.40047791098563,0.13954870585042026
200.0,0.0,1,397.7369257991043,0.5755811220066182,395.3235613221023,400.0000000000001,-44.40047791098563,0.13978833441559277
