time_s,gap_m,roi_mean_ppm,roi_std_ppm,roi_volume_m3,minimum_ppm,maximum_ppm,inventory_ppm_m3,deficit_ppm_m3,max_speed_m_s,budget_residual_ppm_m3,budget_fraction,divergence_s_inv,gcl_m3,max_courant,eddy_diffusivity_m2_s,source_umol_s,mouth_inflow_m3_s,mouth_outflow_m3_s,centre_low_ppm,centre_mid_ppm,centre_high_ppm,left_mid_ppm,right_mid_ppm,left_half_mean_ppm,right_half_mean_ppm,shell_volume_m3,shell_mean_ppm,shell_std_ppm,fans_on,fan_force_n,roi_mean_speed_m_s
0,0.0,400.0,0.0,96.0,400.0,400.0,520800.0000000001,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-44.40047791098563,0.0,0.0,400.0,400.0,400.0,400.0,400.0000000000001,400.0,400.0,96.0,400.0,0.0,1,1.5383767444688012,0.0
0.25,0.0,399.9971711573564,0.017124329475420568,96.0,399.7854850174534,400.0000000000027,520799.72843110614,0.2715688938653704,1.5122013335829052,1.0125121741033638e-08,3.106983650636494e-11,5.523359547510154e-14,1.7139067942650854e-15,1.7898856466919142,0.02183529496232775,-44.40047791098563,0.0,0.0,399.9939472197173,399.9883891321278,399.9999999978471,399.9996489134769,399.9757029948633,399.9976926641036,399.9966496506092,96.0,399.9971711573564,0.017124329475420568,1,1.5383767444688012,0.005286049623374892
0.5,0.0,399.9943423146039,0.03415779041318482,96.0,399.57171561707275,400.0000000000026,520799.4568622019,0.543137798109917,1.5202942274837596,1.0006860451383659e-08,3.070694122189979e-11,1.4340380734741607e-15,4.163336342344337e-17,1.7703181797925776,0.021624345531476477,-44.40047791098563,0.0,0.0,399.98759006823457,399.97652317782246,399.999999936383,399.99922876058713,399.9519339025151,399.9953819361173,399.99330269309036,96.0,399.9943423146039,0.03415779041318482,1,1.5383767444688012,0.010504612405288485
0.75,0.0,399.9915134717822,0.05101126244428986,96.0,399.3596304985832,400.00000000000233,520799.18529329106,0.8147067089812587,1.5257763224399763,3.252755287341813e-09,9.98136887217389e-12,1.8503717077085944e-15,4.163336342344337e-17,1.7542978156082265,0.021441085824719677,-44.40047791098563,0.0,0.0,399.98069448522256,399.96414294916354,399.99999956237014,399.99868718480644,399.9290087755356,399.9930645320357,399.9899624115287,96.0,399.9915134717822,0.05101126244428986,1,1.5383767444688012,0.015601741758837868
1.0,0.0,399.98868462899026,0.06758908189729411,96.0,399.15024682694946,400.0000000000023,520798.913724383,1.0862756170216206,1.5287322488067192,-7.100537935400553e-10,2.1788632117485602e-12,1.8503717077085944e-15,4.163336342344337e-17,1.7412010090861678,0.0212892353443241,-44.40047791098563,0.0,0.0,399.97306651896827,399.9510025373911,399.999998232459,399.99797954387367,399.9067241996281,399.99073697443106,399.98663228354917,96.0,399.98868462899026,0.06758908189729411,1,1.5383767444688012,0.020537244282778307
1.25,0.0,399.98585578606895,0.08365472833628518,96.0,398.9474091619598,400.0000000000021,520798.6421554626,1.3578445374537587,1.5300208612076223,-1.7011352326790075e-08,5.22008474627567e-11,1.4173059888831766e-15,4.163336342344337e-17,1.730475805970411,0.021170931375746067,-44.40047791098563,0.0,0.0,399.9645758857164,399.9365372924343,399.99999472315824,399.99707026827593,399.88509181864003,399.9883963483946,399.9833152237434,96.0,399.98585578606895,0.08365472833628518,1,1.5383767444688012,0.02528590814472922
1.5,0.0,399.98302694333387,0.09916894399675684,96.0,398.7557148949571,400.0000000000019,520798.37058656005,1.6294134400201368,1.533467591977447,-1.5443041068152752e-08,4.7388344893086006e-11,1.4173059888831766e-15,4.163336342344337e-17,1.7216747714730611,0.021089893033282636,-44.40047791098563,0.0,0.0,399.95516482592524,399.92006540570725,399.99998691387674,399.9959338530402,399.86434322617697,399.9860397961,399.98001409056786,96.0,399.98302694333387,0.09916894399675684,1,1.5383767444688012,0.029836125039161002
1.75,0.0,399.98019810061896,0.11412226013453133,96.0,398.57354833624015,400.00000000000176,520798.0990176594,1.9009823406540451,1.5378770778172115,-1.2014642614133209e-08,3.6867999343721054e-11,1.776356839400251e-15,5.551115123125783e-17,1.7144446691723267,0.021026893184223513,-44.40047791098563,0.0,0.0,399.94484427803457,399.90186313056313,399.9999715560407,399.99455505444536,399.8447290251882,399.98366358671564,399.9767326145223,96.0,399.98019810061896,0.11412226013453133,1,1.5383767444688012,0.0341877233616723
2.0,0.0,399.9773692579336,0.12853069683769666,96.0,398.40045771325885,400.0000000000017,520797.8274487616,2.172551238447102,1.5416531700931155,-5.675775849312004e-09,1.741662294984871e-11,1.8503717077085944e-15,4.163336342344337e-17,1.7094524345541993,0.020976640568099548,-44.40047791098563,0.0,0.0,399.93371111257096,399.8820339231511,399.999943693133,399.9929256861868,399.8263941656891,399.98126493719354,399.97347357867375,96.0,399.9773692579336,0.12853069683769666,1,1.5383767444688012,0.03834758466272665
2.25,0.0,399.97454041528226,0.142189226314437,96.0,398.2363730135375,400.00000000000153,520797.55587986705,2.4441201329778655,1.544807709875893,3.86527965190453e-09,1.1860954357650322e-11,1.4173059888831793e-15,4.163336342344337e-17,1.7058017930593021,0.020936189702974367,-44.40047791098563,0.0,0.0,399.92191993621685,399.86060397777135,399.99989683942727,399.9910491219081,399.8094596863038,399.9788415110234,399.9702393195412,96.0,399.97454041528226,0.142189226314437,1,1.5383767444688012,0.04232401287682325
2.5,0.0,399.97171157265956,0.15519135167310896,96.0,398.08158685929425,400.00000000000153,520797.2843109753,2.7156890247631713,1.548269174309002,1.6200729202608954e-08,4.9713378316137335e-11,1.4802973661668755e-15,4.163336342344337e-17,1.7028537067675302,0.020903364819392044,-44.40047791098563,0.0,0.0,399.9097208180884,399.8377676135309,399.99982285770636,399.98893854833125,399.7940198029745,399.97639143854093,399.9670317067782,96.0,399.97171157265956,0.15519135167310896,1,1.5383767444688012,0.046129796660679095
2.75,0.0,399.9688827300479,0.16761742708609706,96.0,397.93636827001706,400.00000000000153,520797.01274208457,2.987257915484707,1.5514911346416365,2.958505351813301e-08,9.078436776865968e-11,1.4802973661668755e-15,4.163336342344337e-17,1.7004670611916992,0.020876515872667725,-44.40047791098563,0.0,0.0,399.8973079111347,399.8136935611558,399.9997119522819,399.986616388465,399.7801296784866,399.9739131038229,399.96385235627287,96.0,399.9688827300479,0.16761742708609706,1,1.5383767444688012,0.049778174163723106
3.0,0.0,399.96605388731683,0.17953398706726698,96.0,397.8004775031185,400.00000000000153,520796.7411731824,3.2588268176649664,1.5541405218059672,3.1500535957462716e-08,9.666219598079846e-11,1.4802973661668755e-15,4.163336342344337e-17,1.6985287060646874,0.020854367359789548,-44.40047791098563,0.0,0.0,399.8849496000959,399.7886334722852,399.9995528735335,399.98410915737634,399.76778433425636,399.9714053794387,399.960702395195,96.0,399.96605388731683,0.17953398706726698,1,1.5383767444688012,0.05328081921341715
3.25,0.0,399.9632250445846,0.19098486433789938,96.0,397.67434621612665,400.00000000000153,520796.4696042801,3.5303957199576486,1.5562689552544609,3.3300626256504984e-08,1.0218593314844927e-10,1.4173059888831793e-15,4.163336342344337e-17,1.6969475726372696,0.020841204773408055,-44.40047791098563,0.0,0.0,399.872875450179,399.76274258211834,399.99933298155537,399.9814525724624,399.7569616004557,399.96886738931033,399.9575826998589,96.0,399.9632250445846,0.19098486433789938,1,1.5383767444688012,0.056648021449979415
3.5,0.0,399.9603962018496,0.20200006768876494,96.0,397.558493183025,400.0000000000015,520796.19803537754,3.8019646225171813,1.5579421281399437,3.486987543155351e-08,1.0700131379803822e-10,1.417305988883182e-15,4.163336342344337e-17,1.6956493996765176,0.02084948157672784,-44.40047791098563,0.0,0.0,399.86128529176176,399.7361450697292,399.99903843223865,399.9786877594608,399.7476133438208,399.9662978573095,399.95449454638964,96.0,399.9603962018496,0.20200006768876494,1,1.5383767444688012,0.059889552721145246
3.75,0.0,399.95756735910976,0.2126184711600429,96.0,397.4533905421422,400.0000000000014,520795.92646647454,4.073533525540501,1.5592303620806778,3.597170117330961e-08,1.1038236407382202e-10,1.780982768669522e-15,4.163336342344337e-17,1.6945741025113636,0.020861336789556758,-44.40047791098563,0.0,0.0,399.8503475721621,399.7089555712519,399.9986543506433,399.9758624873964,399.73967508914234,399.9636953577176,399.951439360502,96.0,399.95756735910976,0.2126184711600429,1,1.5383767444688012,0.06301276889203439
4.0,0.0,399.95473851636206,0.22285176720732905,96.0,397.3594642772432,400.0000000000014,520795.6548975707,4.345102429324685,1.5602015621639476,3.625788114192119e-08,1.1126053275796968e-10,1.417305988883182e-15,4.163336342344337e-17,1.6936730343770923,0.020875595500842847,-44.40047791098563,0.0,0.0,399.8401911551441,399.68127983262343,399.9981650726319,399.9725486953935,399.73304693620844,399.96105848523894,399.9484185474851,96.0,399.95473851636206,0.22285176720732905,1,1.5383767444688012,0.06602543440808381
4.25,0.0,399.95190967360236,0.2327289710198497,96.0,397.2770063582539,400.0000000000014,520795.38332866575,4.616671334254413,1.5614063034966035,3.537911208439937e-08,1.0856395175456259e-10,1.4173059888831766e-15,4.163336342344337e-17,1.6929073139465494,0.020891269367786833,-44.40047791098563,0.0,0.0,399.8309165854718,399.6532131772418,399.9975545142208,399.96877532953033,399.7276200324141,399.9583857064561,399.9454336407485,96.0,399.95190967360236,0.2327289710198497,1,1.5383767444688012,0.06893540617619352
4.5,0.0,399.9490808308271,0.2422937248373929,96.0,397.2060335170165,400.0000000000012,520795.11175975937,4.888240240681749,1.5625477492319388,3.3105234997776734e-08,1.0158635769457034e-10,1.4988010832439613e-15,4.683753385137379e-17,1.6922468674648803,0.02090755887865647,-44.40047791098563,0.0,0.0,399.8225974294292,399.624844586241,399.9968065111688,399.96485306947795,399.7232661731339,399.95567556527226,399.94248609638197,96.0,399.9490808308271,0.2422937248373929,1,1.5383767444688012,0.07174663332675695
4.75,0.0,399.9462519880337,0.2516724094250566,96.0,397.14144397682105,400.000000000001,520794.8401908512,5.159809148848851,1.5634134918171128,2.90247603729199e-08,8.906505842476718e-11,1.4173059888831766e-15,4.163336342344337e-17,1.6916684443274137,0.020923842263600133,-44.40047791098563,0.0,0.0,399.8152751820824,399.5970358073425,399.99590520525555,399.96083081278016,399.7198477244671,399.95292672359665,399.93957725247066,96.0,399.9462519880337,0.2516724094250566,1,1.5383767444688012,0.07446385455405757
5.0,0.0,399.94342314521947,0.26083646688578016,96.0,397.0857299569313,400.00000000000085,520794.568621941,5.431378059006224,1.5640557365389935,2.2967385326921885e-08,7.047746440363293e-11,1.3322676295501878e-15,4.163336342344337e-17,1.6911545424089,0.020939659825192598,-44.40047791098563,0.0,0.0,399.80895160620855,399.56948975282035,399.994830277703,399.95676047928146,399.71722031208424,399.95013813032705,399.936708160112,96.0,399.94342314521947,0.26083646688578016,1,1.5383767444688012,0.07709201701930678
