case,status,volume_m3,frames,minimum_ppm,maximum_ppm,sealed_error_ppm,field_history_error_ppm,source_error_umol_s,max_budget_fraction,max_divergence_s_inv,max_gcl_m3
main,PASS,96.0,181,390.75382114493584,400.0000000040904,1.4620428601119784e-07,1.1368683772161603e-13,7.105427357601002e-15,2.4093540435886738e-08,7.093268102516721e-10,1.2205770248685521e-12
grid,PASS,96.0,31,385.4676495155026,400.0000000000144,1.0161181762669003e-07,1.7053025658242404e-13,0.0,2.992937633913097e-08,2.1170565300820964e-13,3.920475055707584e-15
dt,PASS,96.0,31,390.9541243638828,400.0000000000027,1.1113343134638853e-07,1.1368683772161603e-13,7.105427357601002e-15,3.275541499073008e-08,5.523359547510154e-14,1.7139067942650854e-15
