time_s,gap_m,roi_mean_ppm,roi_std_ppm,roi_volume_m3,minimum_ppm,maximum_ppm,inventory_ppm_m3,deficit_ppm_m3,max_speed_m_s,budget_residual_ppm_m3,budget_fraction,divergence_s_inv,gcl_m3,max_courant,eddy_diffusivity_m2_s,source_umol_s,mouth_inflow_m3_s,mouth_outflow_m3_s,centre_low_ppm,centre_mid_ppm,centre_high_ppm,left_mid_ppm,right_mid_ppm,left_half_mean_ppm,right_half_mean_ppm,shell_volume_m3,shell_mean_ppm,shell_std_ppm,fans_on,fan_force_n,roi_mean_speed_m_s
0,0.0,400.00000000000006,5.684341886080802e-14,95.99999999999999,400.0,400.0,520799.9999999992,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-44.40047791098563,0.0,0.0,400.0,399.99999999999994,400.0,400.0,400.0,400.00000000000006,400.00000000000006,95.99999999999999,400.00000000000006,5.684341886080802e-14,1,1.5383767444688012,0.0
0.5,0.0,399.9943423147968,0.04669058763110925,95.99999999999999,399.33614770683323,400.0000000000144,520799.45686221984,0.5431377795284016,1.5187286162816152,2.886492045384159e-08,8.857457541824418e-11,2.1170565300820964e-13,3.920475055707584e-15,5.4925613386178025,0.014562196641551834,-44.40047791098563,0.0,0.0,399.99991573355976,399.9989612132448,399.99999999606007,399.9999646580913,399.93120470052276,399.9953782906742,399.99330633891947,95.99999999999999,399.9943423147968,0.04669058763110925,1,1.5383767444688012,0.011364852355717197
1.0,0.0,399.9886846293165,0.09078068647005276,95.99999999999999,398.7036925948915,400.0000000000126,520798.9137244137,1.0862755856334207,1.5275635516726616,3.096790246459591e-08,9.50277627399497e-11,4.744495811850878e-15,8.786103355279407e-17,5.457030742173734,0.014259220272708633,-44.40047791098563,0.0,0.0,399.99899244330004,399.9898247773277,399.99999928425586,399.9997574243281,399.86834301066756,399.99070785456644,399.9866614040667,95.99999999999999,399.9886846293165,0.09078068647005276,1,1.5383767444688012,0.021912005379308475
1.5,0.0,399.98302694422574,0.13090130825781873,95.99999999999999,398.15332083276553,400.00000000001046,520798.370586645,1.629413354351676,1.5307390118150992,7.043656480298921e-08,2.1614086313943352e-10,5.058453655948372e-15,9.367506770274758e-17,5.438299778657266,0.014060539800421604,-44.40047791098563,0.0,0.0,399.9960242934552,399.9641672517709,399.99999154875337,399.99925611567653,399.8137190589248,399.98593910586465,399.98011478258695,95.99999999999999,399.98302694422574,0.13090130825781873,1,1.5383767444688012,0.031468990655224745
2.0,0.0,399.9773692588212,0.1667733114329192,95.99999999999999,397.63868431499134,400.00000000000864,520797.8274488462,2.1725511531852666,1.5307378965641834,7.987052885738422e-08,2.450898208185393e-10,5.8078541975703525e-15,1.0755285551056204e-16,5.429049077609623,0.013953377782069024,-44.40047791098563,0.0,0.0,399.99006250894234,399.9177799510564,399.9999561303793,399.9983597158985,399.7697188563818,399.9810105416146,399.9737279760278,95.99999999999999,399.9773692588212,0.1667733114329192,1,1.5383767444688012,0.04013305698318115
2.5,0.0,399.9717115734469,0.19925091175318282,95.99999999999999,397.1705555151052,400.0000000000078,520797.2843110502,2.7156889491182508,1.5309574929591185,9.209954043853941e-08,2.8261563040175793e-10,7.494005416219799e-15,1.3877787807814457e-16,5.425526040195921,0.013884527525621656,-44.40047791098563,0.0,0.0,399.9808229493813,399.8532598545185,399.99985228273977,399.99700407516815,399.73704979973127,399.975888759117,399.9675343877768,95.99999999999999,399.9717115734469,0.19925091175318282,1,1.5383767444688012,0.04808141906870817
3.0,0.0,399.9660538879335,0.2286925415825849,95.99999999999999,396.75081033387994,400.00000000000614,520796.74117324094,3.258826758407503,1.531793731678354,9.105504528150732e-08,2.794105041237045e-10,6.744604874597819e-15,1.249000902703301e-16,5.425523761383456,0.013838525175942312,-44.40047791098563,0.0,0.0,399.9686591131689,399.7757700087599,399.9996195871403,399.9951546715082,399.7151040758264,399.9705505969862,399.9615571788809,95.99999999999999,399.9660538879335,0.2286925415825849,1,1.5383767444688012,0.05543927915437024
3.5,0.0,399.9603962023392,0.25506804507055636,95.99999999999999,396.38737261945187,400.00000000000574,520796.1980354239,3.801964575462446,1.5318663318048307,8.221345204617592e-08,2.522792889834226e-10,6.0888794006786016e-15,1.1275702593849246e-16,5.42758031811003,0.013806861539871281,-44.40047791098563,0.0,0.0,399.9543309280354,399.69113209046725,399.99918156677984,399.9927351713208,399.7023660831051,399.96498370275583,399.9558087019226,95.99999999999999,399.9603962023392,0.25506804507055636,1,1.5383767444688012,0.062303603932752284
4.0,0.0,399.95473851676195,0.27893990577530386,95.99999999999999,396.08769262630966,400.00000000000495,520795.65489760845,4.345102390880225,1.534006495230562,7.500065013488211e-08,2.301461648720855e-10,8.02678236377918e-15,1.4864411784776266e-16,5.430675108776747,0.013784423495157393,-44.40047791098563,0.0,0.0,399.938823059466,399.6053675010573,399.99845205119544,399.9895972312155,399.6968290382781,399.9591797057479,399.95029732777607,95.99999999999999,399.95473851676195,0.27893990577530386,1,1.5383767444688012,0.06874044381076884
4.5,0.0,399.94908083114797,0.3004862473017342,95.99999999999999,395.8563928188475,400.0000000000047,520795.1117597896,4.888240209827859,1.5353353440439124,6.435018562456207e-08,1.9746426735855454e-10,1.0825325011398764e-14,2.0046898169256977e-16,5.434105740175108,0.013775446215012836,-44.40047791098563,0.0,0.0,399.9231624318344,399.5267881806186,399.99734107200965,399.98595649162894,399.6964304784143,399.9531088347622,399.94505282753363,95.99999999999999,399.94908083114797,0.3004862473017342,1,1.5383767444688012,0.07479284441883563
